mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
1	0	0	0	0.0	0	1/4	Dynamic	3/8	1	1	0					ff															
1	0	0	0	0.5	0	1/4	Chord	3/8	1	1	1/8		1/8	1	0		articAccentStaccatoBelow														
1	0	0	0	0.5	0	1/4	Chord	3/8	2	1	1/8		1/8	1	1		articAccentStaccatoAbove														
2	1	1/2	1/2	0.0	0	0	Spanner	3/8	1	1	0															0					
2	1	1/2	1/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	2									0		0					
2	1	3/4	3/4	0.0	1/16	1/16	Tempo	3/8	1	1	0								Allegrorisoluto𝅘𝅥.=82-88	120.0			1.0	0		0					
2	1	3/4	3/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	3									0		0					
2	1	1	1	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	4									0		0					
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	5									0		0					
2	1	3/2	3/2	0.0	1/4	1/4	Spanner	3/8	1	1	0																				
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	6																
2	1	1/2	1/2	0.0	0	0	StaffText	3/8	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>brioso"													
2	1	1/2	1/2	0.0	0	0	Spanner	3/8	2	1	0															1					
2	1	1/2	1/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	7									1		1					
2	1	5/4	5/4	0.0	3/16	3/16	Spanner	3/8	2	1	0																				
2	1	5/4	5/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	8		articTenutoAbove														
3	2	2	2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	9		articStaccatoAbove														
3	2	5/2	5/2	0.0	1/8	1/8	Spanner	3/8	1	1	0															2					
3	2	5/2	5/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	10									2		2					
3	2	11/4	11/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	11									2		2					
3	2	3	3	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	12									2		2					
3	2	13/4	13/4	0.0	5/16	5/16	Spanner	3/8	1	1	0													2							
3	2	13/4	13/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	13									2							
3	2	2	2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	14		articTenutoAbove														
3	2	11/4	11/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	15		articTenutoAbove														
4	3	7/2	7/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	16		articStaccatoBelow														
4	3	4	4	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	17		articStaccatoBelow														
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	18		articStaccatoBelow														
4	3	7/2	7/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	19		articTenutoBelow														
4	3	17/4	17/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	20		articTenutoBelow														
5	4	5	5	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	21		articTenutoBelow							3							
5	4	6	6	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	22		articAccentStaccatoBelow														
5	4	5	5	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	23		articTenutoBelow														
5	4	23/4	23/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	24		articAccentBelow														
6	5	13/2	13/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	25		articTenutoBelow							4							
6	5	15/2	15/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	26		articAccentStaccatoBelow														
6	5	13/2	13/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	27		articTenutoBelow														
6	5	29/4	29/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	28		articAccentBelow														
7	6	8	8	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	29		articTenutoBelow							5							
7	6	9	9	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	30		articAccentStaccatoBelow														
7	6	8	8	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	31		articTenutoBelow														
7	6	35/4	35/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16		1/8	3/2	32		articAccentBelow														
8	7	19/2	19/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	33		articTenutoAbove														
8	7	41/4	41/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	34		articTenutoAbove														
8	7	21/2	21/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	35		articTenutoAbove														
