mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1		d.i{		d	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	3/8	3/8	4/4	2	1		i(4)		d	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
1	1	1/2	1/2	4/4	2	1		V6		d	i		V6		V		6					M	1	1	5, 2, 1		1	5
1	1	3/4	3/4	4/4	2	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
2	2	0	0	4/4	2	1		iv7		d	i		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
2	2	1/4	1/4	4/4	2	1		VII		d	i		VII		VII							M	1	1	-2, 2, -1		-2	-2
2	2	1/2	1/2	4/4	2	1		IIIM7		d	i		IIIM7		III	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3
2	2	3/4	3/4	4/4	2	1		VIM7		d	i		VIM7		VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
3	3	0	0	4/4	2	1		ii%7		d	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
3	3	1/2	1/2	4/4	2	1		V(64)		d	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
3	3	5/8	5/8	4/4	2	1		ii%7		d	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
3	3	3/4	3/4	4/4	2	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	0	0	4/4	2	1		ii6		d	i		ii6		ii		6					m	1	1	-1, 3, 2		2	-1
4	4	1/4	1/4	4/4	2	1		V7(4)		d	i		V7(4)		V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
4	4	3/8	3/8	4/4	2	1		V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	1/2	1/2	4/4	2	1		i|PAC}		d	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
4	4	7/8	7/8	4/4	2	1		{		d	i										{		1	1				
5	5	0	0	4/4	2	1		V(4)		d	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
5	5	1/4	1/4	4/4	2	1		V		d	i		V		V							M	1	1	1, 5, 2		1	1
5	5	1/2	1/2	4/4	2	1		i(9)		d	i		i(9)		i			9				m	1	1	0, -3, 1	2	0	0
5	5	5/8	5/8	4/4	2	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
5	5	7/8	7/8	4/4	2	1		V7/VII		d	i		V7/VII		V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
6	6	0	0	4/4	2	1		VII(94)		d	i		VII(94)		VII			94				M	1	1	-2, -3, -1	0	-2	-2
6	6	1/8	1/8	4/4	2	1		VII		d	i		VII		VII							M	1	1	-2, 2, -1		-2	-2
6	6	1/2	1/2	4/4	2	1		V7(4)/iv		d	i		V7(4)/iv		V		7	4	iv			Mm7	1	1	0, -1, 1, -2		0	0
6	6	5/8	5/8	4/4	2	1		V7/iv		d	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
7	7	0	0	4/4	2	1		iv		d	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
7	7	1/4	1/4	4/4	2	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	3/8	3/8	4/4	2	1		VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	7	5/8	5/8	4/4	2	1		ii%7		d	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
7	7	7/8	7/8	4/4	2	1		#viio		d	i		#viio		#vii	o						o	1	1	5, 2, -1		5	5
8	8	0	0	4/4	2	1		i(9)		d	i		i(9)		i			9				m	1	1	0, -3, 1	2	0	0
8	8	1/8	1/8	4/4	2	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
8	8	1/4	1/4	4/4	2	1		ii%65(^4)		d	i		ii%65(^4)		ii	%	65	^4				%7	1	1	-1, 1, 0, 2		2	-1
8	8	3/8	3/8	4/4	2	1		V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	9/16	9/16	4/4	2	1		V7/ii		d	i		V7/ii		V		7		ii			Mm7	1	1	3, 7, 4, 1		3	3
8	8	3/4	3/4	4/4	2	1		ii		d	i		ii		ii							m	1	1	2, -1, 3		2	2
9	9	0	0	4/4	2	1		V		d	i		V		V							M	1	1	1, 5, 2		1	1
9	9	1/8	1/8	4/4	2	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
9	9	1/4	1/4	4/4	2	1		ii%65(^4)		d	i		ii%65(^4)		ii	%	65	^4				%7	1	1	-1, 1, 0, 2		2	-1
9	9	3/8	3/8	4/4	2	1		V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	1/2	1/2	4/4	2	1		i(9)}		d	i		i(9)		i			9			}	m	1	1	0, -3, 1	2	0	0
9	9	5/8	5/8	4/4	2	1		i|PAC		d	i		i		i					PAC		m	1	1	0, -3, 1		0	0
9	9	3/4	3/4	4/4	2	1		VII.I{		d	VII		I		I						{	M	1	0	0, 4, 1		0	0
9	9	15/16	15/16	4/4	2	1		V		d	VII		V		V							M	1	0	1, 5, 2		1	1
10	10	0	0	4/4	2	1		I		d	VII		I		I							M	1	0	0, 4, 1		0	0
10	10	1/8	1/8	4/4	2	1		V		d	VII		V		V							M	1	0	1, 5, 2		1	1
10	10	1/4	1/4	4/4	2	1		I		d	VII		I		I							M	1	0	0, 4, 1		0	0
10	10	1/2	1/2	4/4	2	1		V7		d	VII		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
10	10	5/8	5/8	4/4	2	1		I		d	VII		I		I							M	1	0	0, 4, 1		0	0
10	10	3/4	3/4	4/4	2	1		ii6		d	VII		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
