mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	4/4	2	1	f#.i6{						f#	i		i6		i		6				{	m	1	1	3, 7, 6		6.0	3.0	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
2	1	1/4	1/4	4/4	2	1	i						f#	i		i		i							m	1	1	6, 3, 7		6.0	6.0	0	6	0.0	0.0	0.875	0.0
2	1	1/2	1/2	4/4	2	1	V6						f#	i		V6		V		6					M	1	1	11, 8, 7		7.0	11.0	1	7	0.125	0.0625	0.9375	0.0625
2	1	3/4	3/4	4/4	2	1	#viio43/iv						f#	i		#viio43/iv		#vii	o	43		iv			o7	1	1	4, 1, 10, 7		10.0	4.0	0	7	0.0	0.0	1.0	0.0
3	2	0	0	4/4	2	1	iv6						f#	i		iv6		iv		6					m	1	1	2, 6, 5		5.0	2.0	3	15	0.16666666666666666	0.0625	1.3125	0.045454545454545456
3	2	1/2	1/2	4/4	2	1	V7/iv						f#	i		V7/iv		V		7		iv			Mm7	1	1	6, 10, 7, 4		6.0	6.0	0	6	0.0	0.0	0.875	0.0
3	2	3/4	3/4	4/4	2	1	iv						f#	i		iv		iv							m	1	1	5, 2, 6		5.0	5.0	0	6	0.0	0.0	0.875	0.0
4	3	0	0	4/4	2	1	V(64)						f#	i		V(64)		V			64				M	1	1	7, 6, 3		7.0	7.0	4	4	0.5	0.09375	0.125	0.42857142857142855
4	3	1/4	1/4	4/4	2	1	V7						f#	i		V7		V		7					Mm7	1	1	7, 11, 8, 5		7.0	7.0	1	6	0.14285714285714285	0.0625	0.625	0.09090909090909091
4	3	1/2	1/2	4/4	2	1	i|PAC}						f#	i		i		i					PAC	}	m	1	1	6, 3, 7		6.0	6.0	1	9	0.1	0.0625	1.25	0.047619047619047616
5	4	0	0	4/4	2	1	i6						f#	i		i6		i		6					m	1	1	3, 7, 6		6.0	3.0	0	3	0.0	0.0	0.625	0.0
5	4	1/4	1/4	4/4	2	1	i						f#	i		i		i							m	1	1	6, 3, 7		6.0	6.0	0	6	0.0	0.0	0.875	0.0
5	4	1/2	1/2	4/4	2	1	V6						f#	i		V6		V		6					M	1	1	11, 8, 7		7.0	11.0	1	7	0.125	0.0625	0.9375	0.0625
5	4	3/4	3/4	4/4	2	1	V43/VI	-3.49674	3.37001	0.347968	/	Ger2/v	f#	i		V43/VI		V		43		VI			Mm7	1	1	4, 1, 3, 7		3.0	4.0	0	7	0.0	0.0	1.0	0.0
6	5	0	0	4/4	2	1	V/v						f#	i		V/v		V				v			M	1	1	8, 12, 9		8.0	8.0	0	1	0.0	0.0	0.25	0.0
6	5	1/4	1/4	4/4	2	1	V7/v						f#	i		V7/v		V		7		v			Mm7	1	1	8, 12, 9, 6		8.0	8.0	1	9	0.1	0.0625	1.3125	0.045454545454545456
6	5	3/4	3/4	4/4	2	1	Ger7/v						f#	i		Ger7/v	Ger	vii	o	7	b3	V/v			Ger	1	1	13, 3, 7, 4		13.0	13.0	0	8	0.0	0.0	1.125	0.0
7	6	0	0	4/4	2	1	V(64)/v						f#	i		V(64)/v		V			64	v			M	1	1	8, 7, 4		8.0	8.0	4	4	0.5	0.09375	0.125	0.42857142857142855
7	6	1/4	1/4	4/4	2	1	V7/v						f#	i		V7/v		V		7		v			Mm7	1	1	8, 12, 9, 6		8.0	8.0	1	5	0.16666666666666666	0.0625	0.5	0.1111111111111111
7	6	1/2	1/2	4/4	2	1	i/v|PAC}						f#	i		i/v		i				v	PAC	}	m	1	1	7, 4, 8		7.0	7.0	2	9	0.18181818181818182	0.125	1.375	0.08333333333333333
8	7	0	0	4/4	2	1	ii6/iv						f#	i		ii6/iv		ii		6		iv			m	1	1	4, 8, 7		7.0	4.0	0	2	0.0	0.0	0.25	0.0
8	7	1/4	1/4	4/4	2	1	V2/iv						f#	i		V2/iv		V		2		iv			Mm7	1	1	4, 6, 10, 7		6.0	4.0	0	5	0.0	0.0	0.875	0.0
8	7	1/2	1/2	4/4	2	1	IV/iv						f#	i		IV/iv		IV				iv			M	1	1	4, 8, 5		4.0	4.0	2	6	0.25	0.125	0.875	0.125
8	7	3/4	3/4	4/4	2	1	V2/iv						f#	i		V2/iv		V		2		iv			Mm7	1	1	4, 6, 10, 7		6.0	4.0	0	6	0.0	0.0	1.0	0.0
9	8	0	0	4/4	2	1	i6/iv						f#	i		i6/iv		i		6		iv			m	1	1	2, 6, 5		5.0	2.0	6	11	0.35294117647058826	0.25	1.5	0.14285714285714285
9	8	3/4	3/4	4/4	2	1	V43/III/iv	-3.57275	5.77496		/		f#	i		V43/III/iv		V		43		III/iv			Mm7	1	1	4, 1, 3, 7		3.0	4.0	0	6	0.0	0.0	1.5	0.0
10	9	0	0	4/4	2	1	III6/iv	0.684144	6.48353	0.433354	/		f#	i		III6/iv		III		6		iv			M	1	1	6, 3, 2		2.0	6.0	6	11	0.35294117647058826	0.25	1.375	0.15384615384615385
10	9	1/2	1/2	4/4	2	1	ii%43/iv						f#	i		ii%43/iv		ii	%	43		iv			%7	1	1	1, 5, 7, 4		7.0	1.0	2	6	0.25	0.375	1.125	0.25
10	9	3/4	3/4	4/4	2	1	V/iv						f#	i		V/iv		V				iv			M	1	1	6, 10, 7		6.0	6.0	0	6	0.0	0.0	1.0	0.0
11	10	0	0	4/4	2	1	iv6						f#	i		iv6		iv		6					m	1	1	2, 6, 5		5.0	2.0	6	4	0.6	0.0625	0.125	0.3333333333333333
11	10	1/8	1/8	4/4	2	1	ii%65						f#	i		ii%65		ii	%	65					%7	1	1	5, 2, 6, 8		8.0	5.0	2	6	0.25	0.125	0.625	0.16666666666666666
11	10	1/4	1/4	4/4	2	1	III+					V64(6)	f#	i		III+		III	+						+	1	1	3, 7, 11		3.0	3.0	2	6	0.25	0.125	0.75	0.14285714285714285
11	10	3/8	3/8	4/4	2	1	IV2						f#	i		IV2		IV		2					Mm7	1	1	3, 5, 9, 6		5.0	3.0	0	5	0.0	0.0	0.5	0.0
11	10	1/2	1/2	4/4	2	1	V64}						f#	i		V64		V		64				}	M	1	1	8, 7, 11		7.0	8.0	0	5	0.0	0.0	0.625	0.0
